date,open,high,low,close,volume,name
21-Dec-16,63.43,63.7,63.12,63.54,17096304,MSFT
20-Dec-16,63.69,63.8,63.02,63.54,26028379,MSFT
19-Dec-16,62.56,63.77,62.42,63.62,34338219,MSFT
16-Dec-16,62.95,62.95,62.12,62.3,42453083,MSFT
15-Dec-16,62.7,63.15,62.3,62.58,27669868,MSFT
14-Dec-16,63,63.45,62.53,62.68,30352654,MSFT
13-Dec-16,62.5,63.42,62.24,62.98,35718868,MSFT
12-Dec-16,61.82,62.3,61.72,62.17,20198081,MSFT
9-Dec-16,61.18,61.99,61.12,61.97,27349356,MSFT
8-Dec-16,61.3,61.58,60.84,61.01,21220753,MSFT
7-Dec-16,60.01,61.38,59.8,61.37,30808969,MSFT
6-Dec-16,60.43,60.46,59.8,59.95,19907035,MSFT
5-Dec-16,59.7,60.58,59.56,60.22,23552658,MSFT
2-Dec-16,59.08,59.47,58.8,59.25,25515665,MSFT
1-Dec-16,60.11,60.15,58.94,59.2,34542121,MSFT
30-Nov-16,60.86,61.18,60.22,60.26,34655435,MSFT
29-Nov-16,60.65,61.41,60.52,61.09,22366721,MSFT
28-Nov-16,60.34,61.02,60.21,60.61,20732619,MSFT
25-Nov-16,60.3,60.53,60.13,60.53,8409616,MSFT
23-Nov-16,61.01,61.1,60.25,60.4,21848913,MSFT
22-Nov-16,60.98,61.26,60.8,61.12,23206700,MSFT
21-Nov-16,60.5,60.97,60.42,60.86,19652595,MSFT
18-Nov-16,60.78,61.14,60.3,60.35,27686311,MSFT
17-Nov-16,60.41,60.95,59.96,60.64,31463728,MSFT
16-Nov-16,58.94,59.66,58.81,59.65,27332475,MSFT
15-Nov-16,58.33,59.49,58.32,58.87,35904126,MSFT
26-Jan-17,121.67,122.44,121.6,121.94,26337576,AAPL
25-Jan-17,120.42,122.1,120.28,121.88,32586673,AAPL
24-Jan-17,119.55,120.1,119.5,119.97,23211038,AAPL
23-Jan-17,120,120.81,119.77,120.08,22050218,AAPL
20-Jan-17,120.45,120.45,119.73,120,32597892,AAPL
19-Jan-17,119.4,120.09,119.37,119.78,25597291,AAPL
18-Jan-17,120,120.5,119.71,119.99,23712961,AAPL
17-Jan-17,118.34,120.24,118.22,120,34439843,AAPL
13-Jan-17,119.11,119.62,118.81,119.04,26111948,AAPL
12-Jan-17,118.9,119.3,118.21,119.25,27086220,AAPL
11-Jan-17,118.74,119.93,118.6,119.75,27588593,AAPL
10-Jan-17,118.77,119.38,118.3,119.11,24462051,AAPL
9-Jan-17,117.95,119.43,117.94,118.99,33561948,AAPL
6-Jan-17,116.78,118.16,116.47,117.91,31751900,AAPL
5-Jan-17,115.92,116.86,115.81,116.61,22193587,AAPL
4-Jan-17,115.85,116.51,115.75,116.02,21118116,AAPL
3-Jan-17,115.8,116.33,114.76,116.15,28781865,AAPL
30-Dec-16,116.65,117.2,115.43,115.82,30586265,AAPL
29-Dec-16,116.45,117.11,116.4,116.73,15039519,AAPL
28-Dec-16,117.52,118.02,116.2,116.76,20905892,AAPL
27-Dec-16,116.52,117.8,116.49,117.26,18296855,AAPL
23-Dec-16,115.59,116.52,115.59,116.52,14249484,AAPL
22-Dec-16,116.35,116.51,115.64,116.29,26085854,AAPL
21-Dec-16,116.8,117.4,116.78,117.06,23783165,AAPL
20-Dec-16,116.74,117.5,116.68,116.95,21424965,AAPL
